city,fuel_type,body_type,transmission,owner_count,brand,model,variant,car_age,price_numeric,km_numeric,engine_cc,mileage_numeric,max_power_numeric,torque_numeric,spec_seats
Bangalore,Diesel,SUV,Manual,1,Renault,Renault Captur,1.5 Diesel Platine,6,949000.0,46071,1461.0,20.37,108.45,240.0,5.0
Bangalore,Diesel,SUV,Manual,1,Maruti,Maruti Vitara Brezza,ZDi,7,795000.0,90000,1248.0,24.3,88.5,200.0,5.0
Bangalore,Petrol,SUV,Manual,1,Hyundai,Hyundai Venue,SX Turbo BSIV,5,1085000.0,9554,998.0,18.27,118.35,171.6,5.0
Bangalore,Diesel,SUV,Manual,2,Renault,Renault Duster,85PS Diesel RxE,11,516000.0,74499,1461.0,20.45,83.8,200.0,5.0
Bangalore,Petrol,SUV,Automatic,2,Ford,Ford Ecosport,1.5 Petrol Trend Plus AT BSIV,7,777000.0,56211,1497.0,14.8,121.36,150.0,5.0
Bangalore,Petrol,Hatchback,Manual,1,Honda,Honda Jazz,V,5,753000.0,9001,1199.0,18.2,88.7,110.0,5.0
Bangalore,Diesel,SUV,Automatic,2,Mahindra,Mahindra XUV500,AT W10 1.99 mHawk,7,1226000.0,65457,1997.0,16.0,140.0,320.0,7.0
Bangalore,Petrol,Hatchback,Manual,1,Honda,Honda Jazz,1.2 V i VTEC,7,725000.0,23682,1199.0,18.7,88.7,110.0,5.0
Bangalore,Diesel,Sedan,Manual,1,Hyundai,Hyundai Verna,CRDi 1.6 SX,4,1150000.0,50000,1582.0,22.0,126.2,259.87,5.0
Bangalore,Diesel,Hatchback,Manual,2,Maruti,Maruti Swift,ZDI BSIV,9,629000.0,134557,1248.0,25.2,74.0,190.0,5.0
Bangalore,Petrol,Sedan,Manual,2,Maruti,Maruti Swift Dzire,VXI,11,447000.0,96567,1197.0,22.41,88.5,113.0,5.0
Bangalore,Petrol,Hatchback,Manual,3,Maruti,Maruti Celerio,VXI,9,400000.0,120000,998.0,23.1,67.04,90.0,5.0
Bangalore,Diesel,MUV,Manual,2,Maruti,Maruti Ertiga,ZDI,10,786000.0,83007,1248.0,20.77,88.8,200.0,7.0
Bangalore,Petrol,Hatchback,Manual,1,Honda,Honda Jazz,1.2 VX i VTEC,6,745000.0,34000,1199.0,18.7,88.7,110.0,5.0
Bangalore,Petrol,Hatchback,Automatic,1,Hyundai,Hyundai Grand i10,AT Asta,10,490000.0000000001,81634,1197.0,18.9,82.0,114.0,5.0
Bangalore,Petrol,Sedan,Automatic,2,Honda,Honda City,i-VTEC CVT ZX,7,942000.0,57284,1497.0,18.0,117.6,145.0,5.0
Bangalore,Petrol,SUV,Automatic,2,Ford,Ford Ecosport,1.5 Ti VCT AT Titanium BSIV,8,675000.0,70000,1499.0,15.63,110.4,140.0,5.0
Bangalore,Petrol,Hatchback,Manual,2,Honda,Honda Brio,S MT,11,330000.0,70000,1198.0,19.4,86.8,109.0,5.0
Bangalore,Petrol,Sedan,Automatic,2,Toyota,Toyota Yaris,G CVT BSIV,6,875000.0,46429,1496.0,17.8,105.5,140.0,5.0
Bangalore,Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,1.2 Alpha,7,869000.0,17624,1197.0,21.4,83.1,115.0,5.0
Bangalore,Diesel,Sedan,Manual,2,Volkswagen,Volkswagen Vento,Diesel Highline,12,425000.0,100000,1598.0,20.54,103.6,250.0,5.0
Bangalore,Petrol,Sedan,Manual,1,Honda,Honda City,i-VTEC V,5,1070000.0,30000,1497.0,17.4,117.6,145.0,5.0
Bangalore,Petrol,SUV,Manual,2,Ford,Ford Ecosport,1.5 Petrol Titanium,6,1025000.0,49690,1496.0,15.9,120.69,149.0,5.0
Bangalore,Diesel,SUV,Manual,1,Mahindra,Mahindra XUV500,W6 2WD,8,1000000.0,110000,2179.0,16.0,140.0,330.0,7.0
Bangalore,Petrol,Sedan,Manual,1,Fiat,Fiat Linea,Emotion Pack,15,375000.0,50000,1368.0,16.0,90.0,115.0,5.0
Bangalore,Petrol,Sedan,Manual,1,Fiat,Fiat Linea,Emotion Pack,15,375000.0,50000,1368.0,16.0,90.0,115.0,5.0
Bangalore,Petrol,SUV,Automatic,1,Ford,Ford Ecosport,1.5 Petrol Titanium Plus AT BSIV,6,844000.0,55702,1497.0,14.8,121.36,150.0,5.0
Bangalore,Diesel,Hatchback,Manual,1,Hyundai,Hyundai i20 Active,1.4 SX,8,764000.0,45046,1396.0,21.19,88.73,220.0,5.0
Bangalore,Petrol,Hatchback,Manual,2,Maruti,Maruti Ritz,VXi,10,420000.0,53000,1197.0,18.5,85.8,114.0,5.0
Bangalore,Diesel,Hatchback,Manual,1,Maruti,Maruti Baleno,1.3 Alpha,8,684000.0,94695,1248.0,27.39,74.0,190.0,5.0
Bangalore,Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,1.2 Alpha,5,802999.9999999999,22162,1197.0,21.4,83.1,115.0,5.0
Bangalore,Petrol,Hatchback,Manual,2,Hyundai,Hyundai Santro Xing,GLS,14,320000.0,70000,1086.0,17.92,62.1,96.1,5.0
Bangalore,Diesel,Sedan,Manual,1,Honda,Honda City,i DTec V,7,803999.9999999999,115331,1498.0,26.0,98.6,200.0,5.0
Bangalore,Diesel,Sedan,Automatic,2,Mercedes-Benz,Mercedes-Benz E-Class,E 220 CDI Avantgarde,11,1400000.0,70000,2148.0,10.0,170.0,400.0,5.0
Bangalore,Petrol,Hatchback,Manual,2,Maruti,Maruti Swift,VXI,8,548000.0,42233,1197.0,22.38,88.5,113.0,5.0
Bangalore,Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,1.2 Kappa Sportz BSIV,5,619000.0,20941,1197.0,18.9,81.86,113.75,5.0
Bangalore,Diesel,SUV,Manual,2,Maruti,Maruti Vitara Brezza,ZDi Plus Dual Tone,6,1000000.0,50000,1248.0,24.3,88.5,200.0,5.0
Bangalore,Petrol,SUV,Manual,1,Honda,Honda WR-V,i-VTEC VX,6,865000.0,46602,1199.0,17.5,88.7,110.0,5.0
Bangalore,Diesel,SUV,Automatic,2,Mahindra Ssangyong,Mahindra Ssangyong Rexton,RX7,10,1000000.0,50000,2696.0,11.18,184.0,402.0,7.0
Bangalore,Diesel,Hatchback,Manual,2,Maruti,Maruti Swift,VDI BSIV,10,535000.0,104000,1248.0,25.2,74.0,190.0,5.0
Bangalore,Diesel,SUV,Manual,1,Ford,Ford Ecosport,1.5 Diesel Titanium Plus BSIV,6,975000.0,90000,1498.0,23.0,98.96,205.0,5.0
